district_id,state,locale,pp_total_raw,poverty_rate,Income,avg_black_hispanic,avg_reduced_lunch,avg_spent_per_pupil
8815,Illinois,Suburb,"[14000, 16000[",11.5,73753.0,0.1,0.1,15000.0
4921,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
5987,Wisconsin,Suburb,"[10000, 12000[",10.4,67094.0,0.1,0.1,11000.0
3710,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.5,7000.0
7177,North Carolina,Suburb,"[8000, 10000[",13.6,60266.0,0.30000000000000004,0.30000000000000004,9000.0
9812,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
6584,North Carolina,Rural,"[8000, 10000[",13.6,60266.0,0.5,0.7,9000.0
1044,Missouri,Suburb,"[10000, 12000[",12.9,61901.0,0.1,0.1,11000.0
7457,Washington,City,"[12000, 14000[",9.8,81083.0,0.5,0.5,13000.0
1904,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
5527,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
2257,New York,Rural,"[20000, 22000[",13.0,68304.0,0.1,0.30000000000000004,21000.0
7614,Utah,City,"[8000, 10000[",8.9,83670.0,0.30000000000000004,0.30000000000000004,9000.0
4808,Indiana,City,"[8000, 10000[",11.9,66360.0,0.9,0.9,9000.0
1877,Illinois,Rural,"[12000, 14000[",11.5,73753.0,0.1,0.1,13000.0
2779,Illinois,Rural,"[10000, 12000[",11.5,73753.0,0.1,0.1,11000.0
8328,Utah,Town,"[10000, 12000[",8.9,83670.0,0.1,0.5,11000.0
8539,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.30000000000000004,0.5,21000.0
9043,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.9,0.9,13000.0
1549,Virginia,Suburb,"[10000, 12000[",9.9,81947.0,0.1,0.30000000000000004,11000.0
4051,Missouri,Suburb,"[10000, 12000[",12.9,61901.0,0.1,0.30000000000000004,11000.0
7305,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
2167,Washington,Suburb,"[14000, 16000[",9.8,81083.0,0.1,0.1,15000.0
6577,Illinois,Suburb,"[10000, 12000[",11.5,73753.0,0.1,0.1,11000.0
4602,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.7,0.30000000000000004,21000.0
4936,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
4520,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
7785,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
3668,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
7970,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
5231,Utah,Town,"[10000, 12000[",8.9,83670.0,0.1,0.5,11000.0
9589,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.30000000000000004,0.30000000000000004,21000.0
8433,New Jersey,Suburb,"[18000, 20000[",9.2,85239.0,0.1,0.1,19000.0
2165,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.30000000000000004,0.30000000000000004,7000.0
2074,California,Suburb,"[12000, 14000[",11.8,77358.0,0.5,0.30000000000000004,13000.0
1142,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
7964,District Of Columbia,City,"[18000, 20000[",13.5,88311.0,0.9,0.7,19000.0
8784,Illinois,Suburb,"[10000, 12000[",11.5,73753.0,0.7,0.7,11000.0
7798,New York,Rural,"[22000, 24000[",13.0,68304.0,0.1,0.30000000000000004,23000.0
3550,Minnesota,Suburb,"[14000, 16000[",9.0,78461.0,0.5,0.7,15000.0
1444,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.5,21000.0
2601,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.7,0.5,13000.0
7660,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
9899,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.30000000000000004,0.1,13000.0
1742,Missouri,Suburb,"[8000, 10000[",12.9,61901.0,0.1,0.30000000000000004,9000.0
4629,Illinois,Suburb,"[16000, 18000[",11.5,73753.0,0.1,0.30000000000000004,17000.0
4569,Connecticut,City,"[20000, 22000[",10.0,79043.0,0.7,0.5,21000.0
4949,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
6250,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
8425,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
6418,District Of Columbia,City,"[18000, 20000[",13.5,88311.0,0.5,0.7,19000.0
1558,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
3222,Indiana,City,"[8000, 10000[",11.9,66360.0,0.30000000000000004,0.7,9000.0
1772,Utah,City,"[8000, 10000[",8.9,83670.0,0.30000000000000004,0.5,9000.0
5604,California,Suburb,"[12000, 14000[",11.8,77358.0,0.1,0.1,13000.0
9007,Arizona,City,"[8000, 10000[",13.5,66628.0,0.9,0.5,9000.0
8884,Texas,City,"[8000, 10000[",13.6,68093.0,0.7,0.5,9000.0
1712,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.5,0.5,13000.0
3412,California,City,"[12000, 14000[",11.8,77358.0,0.7,0.5,13000.0
2940,New York,Suburb,"[14000, 16000[",13.0,68304.0,0.1,0.30000000000000004,15000.0
5042,Illinois,Town,"[10000, 12000[",11.5,73753.0,0.30000000000000004,0.9,11000.0
3692,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.1,0.5,9000.0
4683,Texas,Suburb,"[8000, 10000[",13.6,68093.0,0.5,0.5,9000.0
2567,Washington,Suburb,"[12000, 14000[",9.8,81083.0,0.1,0.30000000000000004,13000.0
2321,California,Rural,"[12000, 14000[",11.8,77358.0,0.1,0.1,13000.0
7767,North Carolina,City,"[10000, 12000[",13.6,60266.0,0.5,0.7,11000.0
7308,Utah,Suburb,"[4000, 6000[",8.9,83670.0,0.1,0.30000000000000004,5000.0
5006,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
9140,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
8902,Wisconsin,Suburb,"[10000, 12000[",10.4,67094.0,0.1,0.30000000000000004,11000.0
5890,Illinois,Suburb,"[18000, 20000[",11.5,73753.0,0.30000000000000004,0.30000000000000004,19000.0
4031,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.30000000000000004,0.5,21000.0
6640,Tennessee,Suburb,"[8000, 10000[",13.9,54665.0,0.1,0.5,9000.0
6194,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
3864,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
2598,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
5600,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
2991,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
2106,California,Suburb,"[12000, 14000[",11.8,77358.0,0.30000000000000004,0.1,13000.0
6919,Florida,Suburb,"[6000, 8000[",12.7,57435.0,0.5,0.5,7000.0
7980,Virginia,Rural,"[10000, 12000[",9.9,81947.0,0.1,0.5,11000.0
2060,Ohio,City,"[12000, 14000[",13.1,60110.0,0.5,0.5,13000.0
7387,Utah,City,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
1000,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.7,0.30000000000000004,21000.0
5150,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.30000000000000004,13000.0
2956,Missouri,City,"[8000, 10000[",12.9,61901.0,0.1,0.5,9000.0
9553,Illinois,Suburb,"[14000, 16000[",11.5,73753.0,0.1,0.1,15000.0
1536,Indiana,Rural,"[8000, 10000[",11.9,66360.0,0.1,0.5,9000.0
8937,Illinois,Rural,"[12000, 14000[",11.5,73753.0,0.1,0.1,13000.0
1791,Virginia,City,"[10000, 12000[",9.9,81947.0,0.7,0.7,11000.0
4516,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.5,0.5,21000.0
2872,North Dakota,Rural,"[12000, 14000[",10.6,63657.0,0.1,0.1,13000.0
2439,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
8520,New York,Rural,"[16000, 18000[",13.0,68304.0,0.1,0.30000000000000004,17000.0
2130,Washington,Suburb,"[14000, 16000[",9.8,81083.0,0.5,0.7,15000.0
3772,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.1,0.30000000000000004,9000.0
4775,New York,Suburb,"[16000, 18000[",13.0,68304.0,0.1,0.30000000000000004,17000.0
9778,Utah,Town,"[8000, 10000[",8.9,83670.0,0.1,0.5,9000.0
5524,Massachusetts,Rural,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
1470,New York,Rural,"[32000, 34000[",13.0,68304.0,0.1,0.5,33000.0
5802,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.5,21000.0
1324,Indiana,Rural,"[8000, 10000[",11.9,66360.0,0.1,0.5,9000.0
3160,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.1,0.30000000000000004,9000.0
2393,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.1,0.1,13000.0
9230,Utah,Rural,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
3248,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.7,0.7,13000.0
8556,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
5627,Indiana,Rural,"[8000, 10000[",11.9,66360.0,0.1,0.5,9000.0
4550,California,City,"[12000, 14000[",11.8,77358.0,0.9,0.7,13000.0
7752,Wisconsin,Suburb,"[10000, 12000[",10.4,67094.0,0.1,0.1,11000.0
2729,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
4348,Missouri,Suburb,"[8000, 10000[",12.9,61901.0,0.1,0.30000000000000004,9000.0
3986,Massachusetts,Rural,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
9537,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
1052,Illinois,Suburb,"[16000, 18000[",11.5,73753.0,0.30000000000000004,0.30000000000000004,17000.0
6762,Utah,Suburb,"[4000, 6000[",8.9,83670.0,0.1,0.1,5000.0
3670,Ohio,Rural,"[12000, 14000[",13.1,60110.0,0.1,0.5,13000.0
1204,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
2870,Indiana,Suburb,"[8000, 10000[",11.9,66360.0,0.9,0.7,9000.0
3558,North Carolina,Suburb,"[8000, 10000[",13.6,60266.0,0.30000000000000004,0.30000000000000004,9000.0
1450,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
3080,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.30000000000000004,0.30000000000000004,17000.0
2517,Massachusetts,Suburb,"[18000, 20000[",9.4,86725.0,0.1,0.30000000000000004,19000.0
1570,California,Suburb,"[12000, 14000[",11.8,77358.0,0.30000000000000004,0.30000000000000004,13000.0
4668,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
6055,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
2285,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.1,0.5,13000.0
2172,California,City,"[12000, 14000[",11.8,77358.0,0.1,0.1,13000.0
7741,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
6998,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
3322,California,City,"[12000, 14000[",11.8,77358.0,0.1,0.1,13000.0
4083,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
3936,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
7675,Massachusetts,Suburb,"[20000, 22000[",9.4,86725.0,0.1,0.30000000000000004,21000.0
4744,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.30000000000000004,0.30000000000000004,9000.0
9478,Ohio,Town,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
7541,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.30000000000000004,0.30000000000000004,9000.0
1270,Utah,Rural,"[8000, 10000[",8.9,83670.0,0.1,0.5,9000.0
8076,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
6345,Massachusetts,Suburb,"[12000, 14000[",9.4,86725.0,0.30000000000000004,0.30000000000000004,13000.0
4183,Utah,Town,"[8000, 10000[",8.9,83670.0,0.1,0.5,9000.0
9357,California,City,"[12000, 14000[",11.8,77358.0,0.5,0.30000000000000004,13000.0
5510,Washington,City,"[14000, 16000[",9.8,81083.0,0.30000000000000004,0.5,15000.0
6104,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.30000000000000004,0.30000000000000004,13000.0
3228,Indiana,Town,"[8000, 10000[",11.9,66360.0,0.1,0.5,9000.0
5422,Missouri,Town,"[8000, 10000[",12.9,61901.0,0.1,0.30000000000000004,9000.0
8127,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.30000000000000004,0.30000000000000004,21000.0
3640,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
8256,New Jersey,Suburb,"[14000, 16000[",9.2,85239.0,0.1,0.1,15000.0
1857,New Hampshire,Rural,"[16000, 18000[",7.3,88235.0,0.1,0.30000000000000004,17000.0
5479,District Of Columbia,City,"[18000, 20000[",13.5,88311.0,0.9,0.7,19000.0
3314,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
8748,Massachusetts,City,"[18000, 20000[",9.4,86725.0,0.1,0.30000000000000004,19000.0
4373,Utah,City,"[8000, 10000[",8.9,83670.0,0.1,0.1,9000.0
7342,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
6046,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
7723,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.5,0.30000000000000004,15000.0
5934,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
9927,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
2441,Utah,Town,"[8000, 10000[",8.9,83670.0,0.1,0.30000000000000004,9000.0
6144,Michigan,Suburb,"[10000, 12000[",13.0,63829.0,0.5,0.7,11000.0
4314,New Hampshire,Rural,"[16000, 18000[",7.3,88235.0,0.1,0.30000000000000004,17000.0
9536,New York,City,"[24000, 26000[",13.0,68304.0,0.9,0.9,25000.0
6512,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
3732,Michigan,Suburb,"[12000, 14000[",13.0,63829.0,0.5,0.5,13000.0
2201,Connecticut,City,"[20000, 22000[",10.0,79043.0,0.5,0.5,21000.0
9303,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
3266,Utah,Town,"[10000, 12000[",8.9,83670.0,0.1,0.5,11000.0
1965,Massachusetts,Suburb,"[22000, 24000[",9.4,86725.0,0.1,0.30000000000000004,23000.0
5882,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
1705,Washington,City,"[12000, 14000[",9.8,81083.0,0.30000000000000004,0.5,13000.0
9515,New York,Rural,"[18000, 20000[",13.0,68304.0,0.1,0.5,19000.0
8103,Tennessee,Rural,"[8000, 10000[",13.9,54665.0,0.30000000000000004,0.5,9000.0
4929,Virginia,Rural,"[12000, 14000[",9.9,81947.0,0.1,0.5,13000.0
7975,California,City,"[12000, 14000[",11.8,77358.0,0.7,0.7,13000.0
7164,California,City,"[12000, 14000[",11.8,77358.0,0.7,0.7,13000.0
